,Time,Date,Exchange,Symbol,Trade_Volume,Trade_Price,Sale_Condition,Source_of_Trade,Trade_Stop_Stock_Indicator,Trade_Correction_Indicator,Sequence_Number,Trade_Id,Trade_Reporting_Facility,Participant_Timestamp,Trade_Reporting_Facility_TRF_Timestamp,Trade_Through_Exempt_Indicator
839,2023-02-03 09:07:09.267521,2023-02-03,J,GOOG,9,103.5,@FTI,N,,0,247662,98, ,90709267309000,,1
840,2023-02-03 09:12:28.588454,2023-02-03,J,GOOG,9,103.48,@ TI,N,,0,263598,99, ,91228588239000,,0
841,2023-02-03 09:13:11.039576,2023-02-03,J,GOOG,22,103.52,@FTI,N,,0,265600,100, ,91311039364000,,1
842,2023-02-03 09:14:14.466652,2023-02-03,J,GOOG,100,103.54,@FT ,N,,0,268846,101, ,91414466418000,,1
843,2023-02-03 09:16:09.081926,2023-02-03,J,GOOG,5,103.73,@FTI,N,,0,272947,102, ,91609081691000,,1
844,2023-02-03 09:18:39.683687,2023-02-03,J,GOOG,22,103.55,@ TI,N,,0,277890,103, ,91839683471000,,0
845,2023-02-03 09:20:17.109196,2023-02-03,J,GOOG,100,103.45,@FT ,N,,0,280462,104, ,92017108963000,,1
846,2023-02-03 09:21:08.467802,2023-02-03,J,GOOG,5,103.52,@FTI,N,,0,282121,105, ,92108467591000,,1
847,2023-02-03 09:21:11.537283,2023-02-03,J,GOOG,34,103.52,@FTI,N,,0,282242,106, ,92111537070000,,1
848,2023-02-03 09:21:11.537291,2023-02-03,J,GOOG,21,103.52,@FTI,N,,0,282243,107, ,92111537070000,,1
849,2023-02-03 09:23:14.760467,2023-02-03,J,GOOG,100,103.49,@FT ,N,,0,286731,108, ,92314760255000,,1
850,2023-02-03 09:23:14.767235,2023-02-03,J,GOOG,297,103.49,@FT ,N,,0,286766,109, ,92314767035000,,1
851,2023-02-03 09:23:26.476666,2023-02-03,J,GOOG,100,103.44,@ T ,N,,0,287265,110, ,92326476421000,,0
852,2023-02-03 09:24:10.560311,2023-02-03,J,GOOG,6,103.46,@ TI,N,,0,289143,111, ,92410560096000,,0
853,2023-02-03 09:25:00.033778,2023-02-03,J,GOOG,40,103.35,@ TI,N,,0,291993,112, ,92500033550000,,0
854,2023-02-03 09:25:00.044679,2023-02-03,J,GOOG,40,103.29,@FTI,N,,0,292043,113, ,92500044486000,,1
855,2023-02-03 09:25:40.068514,2023-02-03,J,GOOG,1,103.26,@ TI,N,,0,294740,114, ,92540068299000,,0
856,2023-02-03 09:25:58.158657,2023-02-03,J,GOOG,5,103.17,@ TI,N,,0,295433,115, ,92558158449000,,0
857,2023-02-03 09:26:00.086350,2023-02-03,J,GOOG,34,103.24,@FTI,N,,0,295619,116, ,92600086135000,,1
858,2023-02-03 09:26:00.086356,2023-02-03,J,GOOG,34,103.24,@FTI,N,,0,295625,117, ,92600086135000,,1
859,2023-02-03 09:26:00.086361,2023-02-03,J,GOOG,10,103.25,@FTI,N,,0,295628,118, ,92600086135000,,1
860,2023-02-03 09:26:00.086367,2023-02-03,J,GOOG,25,103.25,@FTI,N,,0,295630,119, ,92600086135000,,1
861,2023-02-03 09:26:00.402426,2023-02-03,J,GOOG,5,103.29,@FTI,N,,0,295688,120, ,92600402220000,,1
862,2023-02-03 09:27:10.122340,2023-02-03,J,GOOG,34,103.5,@FTI,N,,0,299993,121, ,92710122127000,,1
863,2023-02-03 09:27:10.123038,2023-02-03,J,GOOG,48,103.57,@FTI,N,,0,300044,122, ,92710122841000,,1
864,2023-02-03 09:27:10.123148,2023-02-03,J,GOOG,34,103.56,@ TI,N,,0,300052,123, ,92710122954000,,0
865,2023-02-03 09:27:10.126348,2023-02-03,J,GOOG,28,103.54,@FTI,N,,0,300171,124, ,92710126149000,,1
866,2023-02-03 09:27:10.128529,2023-02-03,J,GOOG,31,103.58,@ TI,N,,0,300193,125, ,92710128329000,,0
867,2023-02-03 09:27:10.128708,2023-02-03,J,GOOG,35,103.58,@ TI,N,,0,300197,126, ,92710128517000,,0
868,2023-02-03 09:27:10.128723,2023-02-03,J,GOOG,33,103.58,@FTI,N,,0,300198,127, ,92710128530000,,1
869,2023-02-03 09:27:10.128742,2023-02-03,J,GOOG,48,103.55,@FTI,N,,0,300200,128, ,92710128543000,,1
870,2023-02-03 09:27:10.131780,2023-02-03,J,GOOG,25,103.61,@FTI,N,,0,300233,129, ,92710131586000,,1
871,2023-02-03 09:27:13.263586,2023-02-03,J,GOOG,5,103.62,@FTI,N,,0,300648,130, ,92713263381000,,1
872,2023-02-03 09:27:40.120464,2023-02-03,J,GOOG,5,103.4,@FTI,N,,0,303005,131, ,92740120234000,,1
873,2023-02-03 09:27:50.177027,2023-02-03,J,GOOG,54,103.67,@FTI,N,,0,304187,132, ,92750176832000,,1
874,2023-02-03 09:27:50.177473,2023-02-03,J,GOOG,55,103.64,@ TI,N,,0,304201,133, ,92750177281000,,0
875,2023-02-03 09:28:32.422024,2023-02-03,J,GOOG,27,103.47,@FTI,N,,0,307179,134, ,92832421794000,,1
876,2023-02-03 09:28:32.435546,2023-02-03,J,GOOG,4,103.47,@FTI,N,,0,307218,135, ,92832435349000,,1
877,2023-02-03 09:28:46.346508,2023-02-03,J,GOOG,35,103.45,@ TI,N,,0,307727,136, ,92846346292000,,0
878,2023-02-03 09:28:46.346595,2023-02-03,J,GOOG,35,103.45,@ TI,N,,0,307729,137, ,92846346404000,,0
879,2023-02-03 09:28:46.346687,2023-02-03,J,GOOG,29,103.45,@ TI,N,,0,307730,138, ,92846346494000,,0
880,2023-02-03 09:29:36.891045,2023-02-03,J,GOOG,5,103.52,@FTI,N,,0,310174,139, ,92936890816000,,1
881,2023-02-03 09:30:00.258042,2023-02-03,J,GOOG,100,103.53,@   ,N,,0,312100,140, ,93000257822000,,0
882,2023-02-03 09:30:00.411077,2023-02-03,J,GOOG,100,103.53,@   ,N,,0,312436,141, ,93000410877000,,0
